Title,Author,Rating
1984,George Orwell,"4.20 avg rating — 5,121,422 ratings"
A Thousand Splendid Suns,Khaled Hosseini,"4.45 avg rating — 1,655,626 ratings"
"Little Women (Little Women, #1)",Louisa May Alcott,"4.16 avg rating — 2,362,607 ratings"
The Outsiders,S.E. Hinton,"4.14 avg rating — 1,505,053 ratings"
The Princess Bride,William Goldman,"4.27 avg rating — 929,012 ratings"
The Secret Garden,Frances Hodgson Burnett,"4.16 avg rating — 1,247,044 ratings"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"4.45 avg rating — 2,645,922 ratings"
The Time Traveler's Wife,Audrey Niffenegger,"really liked it 4.00 avg rating — 1,835,617 ratings"
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,"4.47 avg rating — 10,915,164 ratings"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"4.62 avg rating — 3,965,730 ratings"
The Odyssey,Homer,"3.82 avg rating — 1,143,374 ratings"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"3.98 avg rating — 1,252,092 ratings"
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"3.89 avg rating — 1,743,052 ratings"
The Kite Runner,Khaled Hosseini,"4.35 avg rating — 3,358,530 ratings"
"The Giver (The Giver, #1)",Lois Lowry,"4.12 avg rating — 2,696,469 ratings"
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"4.15 avg rating — 2,265,672 ratings"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"4.58 avg rating — 4,605,302 ratings"
Where the Wild Things Are,Maurice Sendak,"4.25 avg rating — 1,037,541 ratings"
Green Eggs and Ham,Dr. Seuss,"4.31 avg rating — 821,765 ratings"
The Lovely Bones,Alice Sebold,"3.86 avg rating — 2,428,153 ratings"
The Adventures of Huckleberry Finn,Mark Twain,"3.83 avg rating — 1,309,294 ratings"
"Dune (Dune, #1)",Frank Herbert,"4.28 avg rating — 1,542,841 ratings"
Life of Pi,Yann Martel,"3.94 avg rating — 1,709,141 ratings"
A Tale of Two Cities,Charles Dickens,"3.87 avg rating — 989,711 ratings"
Lolita,Vladimir Nabokov,"3.87 avg rating — 906,031 ratings"
Slaughterhouse-Five,Kurt Vonnegut Jr.,"4.10 avg rating — 1,436,076 ratings"
Water for Elephants,Sara Gruen,"4.11 avg rating — 1,671,459 ratings"
The Bell Jar,Sylvia Plath,"4.06 avg rating — 1,118,180 ratings"
Matilda,Roald Dahl,"4.33 avg rating — 1,050,841 ratings"
The Girl With the Dragon Tattoo (Millennium #1),Stieg Larsson,"4.17 avg rating — 3,348,085 ratings"
The Stand,Stephen        King,"4.35 avg rating — 805,583 ratings"
Catch-22,Joseph Heller,"3.99 avg rating — 866,024 ratings"
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,"4.30 avg rating — 317,761 ratings"
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"4.34 avg rating — 801,545 ratings"
"Watership Down (Watership Down, #1)",Richard  Adams,"4.09 avg rating — 496,024 ratings"
Rebecca,Daphne du Maurier,"4.25 avg rating — 684,701 ratings"
Great Expectations,Charles Dickens,"3.80 avg rating — 849,849 ratings"
The Color Purple,Alice Walker,"4.27 avg rating — 729,259 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon,"4.26 avg rating — 1,122,212 ratings"
Anna Karenina,Leo Tolstoy,"4.10 avg rating — 894,980 ratings"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"4.20 avg rating — 761,607 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.40 avg rating — 3,007,419 ratings"
My Sister’s Keeper,Jodi Picoult,"4.11 avg rating — 1,257,733 ratings"
The Brothers Karamazov,Fyodor Dostoevsky,"4.38 avg rating — 362,442 ratings"
A Tree Grows in Brooklyn,Betty  Smith,"4.30 avg rating — 492,269 ratings"
A Clockwork Orange,Anthony Burgess,"really liked it 4.00 avg rating — 747,380 ratings"
To Kill a Mockingbird,Harper Lee,"4.26 avg rating — 6,599,209 ratings"
The Road,Cormac McCarthy,"really liked it 4.00 avg rating — 984,117 ratings"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"4.03 avg rating — 1,584,354 ratings"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,"4.10 avg rating — 669,892 ratings"
Siddhartha,Hermann Hesse,"4.08 avg rating — 834,488 ratings"
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"4.15 avg rating — 647,484 ratings"
Don Quixote,Miguel de Cervantes Saavedra,"3.90 avg rating — 293,359 ratings"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"4.57 avg rating — 4,014,616 ratings"
The Old Man and the Sea,Ernest Hemingway,"3.81 avg rating — 1,246,091 ratings"
The Poisonwood Bible,Barbara Kingsolver,"4.11 avg rating — 773,038 ratings"
And Then There Were None,Agatha Christie,"4.28 avg rating — 1,513,715 ratings"
The Complete Stories and Poems,Edgar Allan Poe,"4.40 avg rating — 289,230 ratings"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,"4.02 avg rating — 627,504 ratings"
Atlas Shrugged,Ayn Rand,"3.69 avg rating — 400,876 ratings"
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,"4.38 avg rating — 387,108 ratings"
"The Notebook (The Notebook, #1)",Nicholas Sparks,"4.16 avg rating — 1,793,022 ratings"
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"4.58 avg rating — 3,520,638 ratings"
Fahrenheit 451,Ray Bradbury,"3.97 avg rating — 2,663,300 ratings"
"The Shining (The Shining, #1)",Stephen        King,"4.28 avg rating — 1,628,559 ratings"
"Moby-Dick or, The Whale",Herman Melville,"3.56 avg rating — 596,373 ratings"
A Prayer for Owen Meany,John Irving,"4.24 avg rating — 330,296 ratings"
The Stranger,Albert Camus,"4.03 avg rating — 1,278,236 ratings"
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,"4.31 avg rating — 861,072 ratings"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"4.43 avg rating — 4,288,401 ratings"
It,Stephen        King,"4.24 avg rating — 1,211,245 ratings"
The Secret Life of Bees,Sue Monk Kidd,"4.10 avg rating — 1,330,045 ratings"
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"4.29 avg rating — 4,297,764 ratings"
The Red Tent,Anita Diamant,"4.20 avg rating — 619,599 ratings"
The Metamorphosis,Franz Kafka,"3.89 avg rating — 1,300,599 ratings"
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"4.52 avg rating — 1,037,816 ratings"
A Story of Yesterday,Sergio Cobo,"4.53 avg rating — 15,489 ratings"
The Master and Margarita,Mikhail Bulgakov,"4.29 avg rating — 393,076 ratings"
The Count of Monte Cristo,Alexandre Dumas,"4.31 avg rating — 978,016 ratings"
Eragon (The Inheritance Cycle #1),Christopher Paolini,"3.96 avg rating — 1,883,692 ratings"
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"4.55 avg rating — 1,099,409 ratings"
The Very Hungry Caterpillar,Eric Carle,"4.34 avg rating — 533,821 ratings"
Looking for Alaska,John Green,"3.96 avg rating — 1,699,861 ratings"
Middlesex,Jeffrey Eugenides,"4.04 avg rating — 653,719 ratings"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"4.17 avg rating — 898,415 ratings"
The Adventures of Tom Sawyer,Mark Twain,"3.92 avg rating — 986,265 ratings"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"4.24 avg rating — 3,013,251 ratings"
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,"4.30 avg rating — 686,687 ratings"
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"3.89 avg rating — 1,553,183 ratings"
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"4.19 avg rating — 1,131,503 ratings"
The Unbearable Lightness of Being,Milan Kundera,"4.11 avg rating — 515,953 ratings"
"Holes (Holes, #1)",Louis Sachar,"4.01 avg rating — 1,313,002 ratings"
The Name of the Rose,Umberto Eco,"4.14 avg rating — 383,487 ratings"
On the Road,Jack Kerouac,"3.61 avg rating — 433,618 ratings"
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"4.47 avg rating — 1,079,080 ratings"
Where the Red Fern Grows,Wilson Rawls,"4.12 avg rating — 429,371 ratings"
Perfume: The Story of a Murderer,Patrick Süskind,"4.04 avg rating — 520,529 ratings"
"The Godfather (The Godfather, #1)",Mario Puzo,"4.40 avg rating — 447,767 ratings"
In Cold Blood,Truman Capote,"4.09 avg rating — 702,580 ratings"
The Girl Who Played With Fire (Millennium #2),Stieg Larsson,"4.26 avg rating — 959,664 ratings"
The Scarlet Letter,Nathaniel Hawthorne,"3.44 avg rating — 896,328 ratings"
Fight Club,Chuck Palahniuk,"4.18 avg rating — 623,916 ratings"
American Gods,Neil Gaiman,"4.10 avg rating — 972,720 ratings"
The Five People You Meet in Heaven,Mitch Albom,"really liked it 4.00 avg rating — 771,045 ratings"
Watchmen,Alan             Moore,"4.39 avg rating — 581,354 ratings"
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"4.08 avg rating — 164,834 ratings"
All Quiet on the Western Front,Erich Maria Remarque,"4.10 avg rating — 496,522 ratings"
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,"4.19 avg rating — 569,998 ratings"
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"4.25 avg rating — 801,938 ratings"
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"4.34 avg rating — 3,920,794 ratings"
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,"4.36 avg rating — 155,846 ratings"
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"4.56 avg rating — 215,413 ratings"
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,"3.92 avg rating — 731,558 ratings"
The Song of Achilles,Madeline Miller,"4.31 avg rating — 1,799,189 ratings"
Peter Pan,J.M. Barrie,"4.03 avg rating — 363,586 ratings"
Gone Girl,Gillian Flynn,"4.14 avg rating — 3,316,790 ratings"
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"4.37 avg rating — 1,161,396 ratings"
The Elephant Tree,R.D. Ronald,"3.79 avg rating — 31,866 ratings"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"4.42 avg rating — 1,172,799 ratings"
Love in the Time of Cholera,Gabriel García Márquez,"3.94 avg rating — 530,489 ratings"
The Secret History,Donna Tartt,"4.16 avg rating — 918,177 ratings"
"Insurgent (Divergent, #2)",Veronica Roth,"3.97 avg rating — 1,581,678 ratings"
The Addiction Manifesto,Jerry Weaver,"4.76 avg rating — 1,241 ratings"
A Walk to Remember,Nicholas Sparks,"4.20 avg rating — 834,075 ratings"
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"4.24 avg rating — 1,297,312 ratings"
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,"4.55 avg rating — 466,394 ratings"
The Thorn Birds,Colleen McCullough,"4.25 avg rating — 359,185 ratings"
How the Grinch Stole Christmas!,Dr. Seuss,"4.38 avg rating — 435,703 ratings"
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,"4.18 avg rating — 2,082,321 ratings"
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"4.38 avg rating — 333,011 ratings"
"The Maze Runner (The Maze Runner, #1)",James Dashner,"4.05 avg rating — 1,621,102 ratings"
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,"4.33 avg rating — 376,417 ratings"
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,"4.43 avg rating — 9,705 ratings"
Their Eyes Were Watching God,Zora Neale Hurston,"3.99 avg rating — 372,275 ratings"
The Zombie Room,R.D. Ronald,"3.83 avg rating — 32,536 ratings"
The Importance of Being Earnest,Oscar Wilde,"4.17 avg rating — 393,923 ratings"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"4.64 avg rating — 2,822,992 ratings"
Atonement,Ian McEwan,"3.95 avg rating — 545,804 ratings"
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,"really liked it 4.00 avg rating — 493,494 ratings"
The Three Musketeers,Alexandre Dumas,"4.10 avg rating — 337,975 ratings"
"Eat, Pray, Love",Elizabeth Gilbert,"3.64 avg rating — 1,808,897 ratings"
The Lorax,Dr. Seuss,"4.35 avg rating — 360,575 ratings"
Goodnight Moon,Margaret Wise Brown,"4.32 avg rating — 387,238 ratings"
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,"4.49 avg rating — 229,951 ratings"
A Midsummer Night’s Dream,William Shakespeare,"3.94 avg rating — 563,184 ratings"
Bridge to Terabithia,Katherine Paterson,"4.06 avg rating — 574,589 ratings"
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"4.20 avg rating — 689,187 ratings"
"Frostbite (Vampire Academy, #2)",Richelle Mead,"4.25 avg rating — 366,912 ratings"
The Diary of a Young Girl,Anne Frank,"4.20 avg rating — 4,018,859 ratings"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"4.40 avg rating — 3,707,493 ratings"
Tess of the D’Urbervilles,Thomas Hardy,"3.84 avg rating — 295,626 ratings"
Heart of Darkness,Joseph Conrad,"3.43 avg rating — 540,074 ratings"
"The Selection (The Selection, #1)",Kiera Cass,"4.07 avg rating — 1,691,614 ratings"
The Night Circus,Erin Morgenstern,"4.01 avg rating — 1,054,230 ratings"
The Prophet,Kahlil Gibran,"4.23 avg rating — 317,574 ratings"
The Call of the Wild,Jack London,"3.91 avg rating — 456,008 ratings"
"Blood Promise (Vampire Academy, #4)",Richelle Mead,"4.30 avg rating — 322,778 ratings"
The Joy Luck Club,Amy Tan,"3.97 avg rating — 698,898 ratings"
"The Good Earth (House of Earth, #1)",Pearl S. Buck,"4.01 avg rating — 256,366 ratings"
Alice in Wonderland,Jane Carruth,"4.03 avg rating — 394,995 ratings"
The Phantom Tollbooth,Norton Juster,"4.20 avg rating — 299,277 ratings"
"Oh, the Places You’ll Go!",Dr. Seuss,"4.37 avg rating — 429,509 ratings"
The Neverending Story,Michael Ende,"4.18 avg rating — 213,662 ratings"
Madame Bovary,Gustave Flaubert,"3.71 avg rating — 357,907 ratings"
Treasure Island,Robert Louis Stevenson,"3.85 avg rating — 522,041 ratings"
Oliver Twist,Charles Dickens,"3.88 avg rating — 416,264 ratings"
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,"4.13 avg rating — 210,362 ratings"
Jonathan Livingston Seagull,Richard Bach,"3.86 avg rating — 264,849 ratings"
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"4.55 avg rating — 823,173 ratings"
The Boy in the Striped Pajamas,John Boyne,"4.16 avg rating — 913,524 ratings"
Ulysses,James Joyce,"3.77 avg rating — 137,160 ratings"
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"4.12 avg rating — 1,016,727 ratings"
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"3.67 avg rating — 2,786,450 ratings"
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"4.29 avg rating — 909,324 ratings"
"Beloved (Beloved Trilogy, #1)",Toni Morrison,"3.97 avg rating — 469,625 ratings"
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,"4.10 avg rating — 276,869 ratings"
A Farewell to Arms,Ernest Hemingway,"3.82 avg rating — 340,399 ratings"
David Copperfield,Charles Dickens,"4.04 avg rating — 250,964 ratings"
The Canterbury Tales,Geoffrey Chaucer,"3.52 avg rating — 233,207 ratings"
A Little Princess,Frances Hodgson Burnett,"4.23 avg rating — 318,637 ratings"
The World According to Garp,John Irving,"4.11 avg rating — 234,750 ratings"
Thirteen Reasons Why,Jay Asher,"3.84 avg rating — 1,008,025 ratings"
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"4.13 avg rating — 982,644 ratings"
His Dark Materials (His Dark Materials #1-3),Philip Pullman,"4.29 avg rating — 165,910 ratings"
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"3.52 avg rating — 660,041 ratings"
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,"4.42 avg rating — 574,297 ratings"
The Iliad / The Odyssey,Homer,"4.07 avg rating — 81,333 ratings"
"Shōgun (Asian Saga, #1)",James Clavell,"4.41 avg rating — 202,916 ratings"
Schindler’s List,Thomas Keneally,"4.34 avg rating — 163,612 ratings"
The Velveteen Rabbit,Margery Williams Bianco,"4.31 avg rating — 267,352 ratings"
The Silmarillion,J.R.R. Tolkien,"4.03 avg rating — 320,419 ratings"
The Trial,Franz Kafka,"3.95 avg rating — 368,726 ratings"
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,"4.29 avg rating — 416,415 ratings"
The Girl on the Train,Paula Hawkins,"3.96 avg rating — 3,163,788 ratings"
Extremely Loud & Incredibly Close,Jonathan Safran Foer,"3.97 avg rating — 429,989 ratings"
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,"4.09 avg rating — 507,022 ratings"
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"4.11 avg rating — 3,513,938 ratings"
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,"4.25 avg rating — 573,837 ratings"
Man’s Search for Meaning,Viktor E. Frankl,"4.37 avg rating — 812,956 ratings"
"Fallen (Fallen, #1)",Lauren Kate,"3.72 avg rating — 607,891 ratings"
The Sun Also Rises,Ernest Hemingway,"3.79 avg rating — 474,187 ratings"
Dark Places,Gillian Flynn,"3.95 avg rating — 804,611 ratings"
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,"4.37 avg rating — 295,953 ratings"
A Confederacy of Dunces,John Kennedy Toole,"3.89 avg rating — 289,065 ratings"
The Green Mile,Stephen        King,"4.49 avg rating — 346,108 ratings"
Mystic River,Dennis Lehane,"4.17 avg rating — 154,894 ratings"
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,"4.07 avg rating — 356,799 ratings"
The Secret Magdalene,Ki Longfellow,"4.15 avg rating — 4,694 ratings"
Shutter Island,Dennis Lehane,"4.13 avg rating — 210,496 ratings"
The Crucible,Arthur Miller,"3.61 avg rating — 447,138 ratings"
Cat’s Cradle,Kurt Vonnegut Jr.,"4.15 avg rating — 424,146 ratings"
The Screwtape Letters,C.S. Lewis,"4.27 avg rating — 490,867 ratings"
1984,George Orwell,"4.20 avg rating — 5,121,422 ratings"
The Wind in the Willows,Kenneth Grahame,"4.02 avg rating — 232,524 ratings"
A Light in the Attic,Shel Silverstein,"4.36 avg rating — 467,551 ratings"
The Lord of the Rings,J.R.R. Tolkien,"4.54 avg rating — 710,011 ratings"
Misery,Stephen        King,"4.23 avg rating — 802,893 ratings"
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,"4.32 avg rating — 303,619 ratings"
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,"4.07 avg rating — 627,322 ratings"
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"4.58 avg rating — 723,644 ratings"
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,"4.47 avg rating — 344,615 ratings"
Before I Go to Sleep,S.J. Watson,"3.90 avg rating — 354,891 ratings"
The Phantom of the Opera,Gaston Leroux,"3.96 avg rating — 264,244 ratings"
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"4.42 avg rating — 990,515 ratings"
The God of Small Things,Arundhati Roy,"3.96 avg rating — 314,073 ratings"
Blindness,José Saramago,"4.18 avg rating — 318,779 ratings"
Big Little Lies,Liane Moriarty,"4.31 avg rating — 1,074,521 ratings"
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,"4.46 avg rating — 1,203 ratings"
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,"4.01 avg rating — 419,996 ratings"
Never Lie,Freida McFadden,"4.09 avg rating — 1,133,983 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"4.40 avg rating — 3,007,419 ratings"
Girl with a Pearl Earring,Tracy Chevalier,"3.93 avg rating — 762,738 ratings"
The House of the Spirits,Isabel Allende,"4.29 avg rating — 297,617 ratings"
The Woman in the Window,A.J. Finn,"3.94 avg rating — 849,505 ratings"
"Uglies (Uglies, #1)",Scott Westerfeld,"3.85 avg rating — 697,442 ratings"
None of This Is True,Lisa Jewell,"4.09 avg rating — 898,962 ratings"
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"4.67 avg rating — 604,742 ratings"
The Wind-Up Bird Chronicle,Haruki Murakami,"4.14 avg rating — 302,959 ratings"
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,"4.14 avg rating — 474,606 ratings"
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"4.19 avg rating — 787,420 ratings"
Norwegian Wood,Haruki Murakami,"really liked it 4.00 avg rating — 681,452 ratings"
The Paris Apartment,Lucy Foley,"3.65 avg rating — 651,943 ratings"
Speak,Laurie Halse Anderson,"4.05 avg rating — 618,205 ratings"
Paper Towns,John Green,"3.70 avg rating — 1,451,981 ratings"
She’s Come Undone,Wally Lamb,"3.91 avg rating — 354,963 ratings"
"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,"3.96 avg rating — 510,995 ratings"
Lock Every Door,Riley Sager,"3.89 avg rating — 265,479 ratings"
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,"3.76 avg rating — 491,694 ratings"
"You (You, #1)",Caroline Kepnes,"3.96 avg rating — 272,662 ratings"
"Marked (House of Night, #1)",P.C. Cast,"3.82 avg rating — 515,019 ratings"
"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,"4.20 avg rating — 187,159 ratings"
The Shack: Where Tragedy Confronts Eternity,William Paul Young,"3.84 avg rating — 678,176 ratings"
"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,"4.21 avg rating — 1,193,181 ratings"
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,"4.07 avg rating — 366,956 ratings"
The Sound and the Fury,William Faulkner,"3.86 avg rating — 190,351 ratings"
Kafka on the Shore,Haruki Murakami,"4.12 avg rating — 518,645 ratings"
For Whom the Bell Tolls,Ernest Hemingway,"3.98 avg rating — 308,252 ratings"
The Complete Calvin and Hobbes,Bill Watterson,"4.81 avg rating — 41,491 ratings"
The Complete Sherlock Holmes,Arthur Conan Doyle,"4.50 avg rating — 213,309 ratings"
Pretty Girls,Karin Slaughter,"4.02 avg rating — 595,446 ratings"
Island of the Blue Dolphins,Scott O'Dell,"3.88 avg rating — 343,670 ratings"
The Idiot,Fyodor Dostoevsky,"4.21 avg rating — 203,474 ratings"
"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,"3.73 avg rating — 694,023 ratings"
"Inkheart (Inkworld, #1)",Cornelia Funke,"3.92 avg rating — 436,548 ratings"
No Exit,Taylor  Adams,"3.99 avg rating — 196,046 ratings"
Roots: The Saga of an American Family,Alex Haley,"4.44 avg rating — 162,662 ratings"
Stranger in a Strange Land,Robert A. Heinlein,"3.92 avg rating — 321,596 ratings"
Behind Closed Doors,B.A. Paris,"3.97 avg rating — 701,542 ratings"
Othello,William Shakespeare,"3.89 avg rating — 423,713 ratings"
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,"3.84 avg rating — 1,106,690 ratings"
Into the Wild,Jon Krakauer,"4.02 avg rating — 1,153,309 ratings"
